"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"172","Matt Ryan",2015,0.767657209651154,0.104759992078142,80.9,657,0.90969677727642,0.122401377083703,80.08,10221
"173","Matt Ryan",2008,0.766560020191087,0.125936961019112,78.8,517,0.90969677727642,0.122401377083703,80.08,10221
"174","Brett Favre",2007,0.765779744253664,0.165326078924486,75,615,0.704416355779647,0.0705248924712061,68.64,3003
"175","Peyton Manning",2014,0.764577900738332,0.144227158646833,76.9,662,0.980790148603706,0.213948006350295,86.4,6258
"176","Justin Herbert",2023,0.76371347525024,0.052762572299016,85.5,520,0.927227190993511,0.112953702593831,83.325,2917
"177","Aaron Rodgers",2017,0.763372259213263,0.118909079622792,79.2,276,0.979421840847449,0.206469976661852,86.52,10172
"178","Jimmy Garoppolo",2022,0.759958267018229,0.198190343444788,71.4,328,0.877852508238257,0.158602722551156,73.1666666666667,2414
"179","Russell Wilson",2014,0.757647850086005,0.163487331679893,74.5,634,0.922127540654702,0.121056387871782,81.8416666666667,7996
"180","Tony Romo",2011,0.757599694631506,0.162390904064097,74.6,565,0.9019842635939,0.142482734941751,77.2777777777778,5164
"181","Carson Wentz",2018,0.756262402955063,0.110608274528623,79.4,448,0.74714103754091,0.0575081586856344,72.4571428571429,4097
"182","Philip Rivers",2014,0.753901329936325,0.125449133221675,77.8,627,0.92724274767162,0.157424319585473,79.1866666666667,9774
"183","Andrew Luck",2014,0.751842632713641,0.106808612400333,79.4,807,0.848751499509516,0.102357603350751,75.7,4305
"184","Jared Goff",2017,0.750155474727355,0.146501073574769,75.5,560,0.742783577243079,0.0744966099413695,70.6,5055
"185","Mike Vick",2011,0.749468022261136,0.10478209378206,79.4,498,0.538197052673264,0.0311673890373471,63.35,2610
"186","Mac Jones",2021,0.747654178043368,0.0969127812146125,80,609,0.503283543931034,-0.0224861439124433,66.5666666666667,1595
"187","Deshaun Watson",2017,0.745226201059859,0.220368459400679,68.1,241,0.857907969953974,0.124294410157809,74.4666666666667,2949
"188","Trevor Lawrence",2022,0.743438810136358,0.108119433764147,78.6,733,0.709287107753243,0.0307218990305446,72.6333333333333,2229
"189","Andrew Luck",2013,0.741835163158058,0.117320463544795,77.6,739,0.848751499509516,0.102357603350751,75.7,4305
"190","Baker Mayfield",2023,0.739968827045531,0.119978248033112,77.2,728,0.745654809438309,0.0558571752733447,72.5166666666667,3600
"191","Brian Hoyer",2016,0.739680605721352,0.0923154574837238,79.8,206,0.467401298810133,-0.035754972886429,65.975,1814
"192","Matthew Stafford",2011,0.738482451468829,0.130340874426318,76.1,755,0.82311958418657,0.085109677812881,75.2,9152
"193","Cam Newton",2012,0.736680671329651,0.167867642055824,72.4,555,0.764101213273699,0.0685868279293223,72.5222222222222,6416
"194","Chad Pennington",2008,0.735002973076228,0.145384233323486,74.4,552,0.615601622003876,0.0648474530977845,64.2333333333333,1577
"195","Eli Manning",2010,0.73452455092527,0.0743238572655795,81.1,565,0.700463146908007,0.0488281281679768,70.4285714285714,8724
"196","Jared Goff",2022,0.73338936345973,0.165146165220044,72.4,626,0.742783577243079,0.0744966099413695,70.6,5055
"197","Jeff Garcia",2007,0.733275838397517,0.0775123851989771,80.7,407,0.762355433134075,0.0740364721866426,71.9,1160
"198","Nick Foles",2018,0.732764828781031,0.120334225864098,76.6,278,0.570969611735699,0.00145335771313934,67.8,2677
"199","Nick Foles",2017,0.732535979264456,0.156005702414035,73.2,215,0.570969611735699,0.00145335771313934,67.8,2677
"200","Kurt Warner",2008,0.727653144179105,0.150950953068721,73.3,767,0.731006775180822,0.0862313014413596,68.775,2129
"201","Dak Prescott",2022,0.726510031274951,0.165840208029677,71.8,507,0.925453073832294,0.145626442334069,80.025,5056
"202","Matt Schaub",2012,0.726279374956722,0.151941414059643,73.1,665,0.835787300453251,0.0909378967451743,75.6714285714286,3706
"203","Baker Mayfield",2018,0.724731993786494,0.0441595457791805,83.2,531,0.745654809438309,0.0558571752733447,72.5166666666667,3600
"204","Jeff Garcia",2008,0.72443769615331,0.0850542189526711,79.3,425,0.762355433134075,0.0740364721866426,71.9,1160
"205","Tyrod Taylor",2015,0.723641214747072,0.108667017504359,77,468,0.715298460820839,0.0394327310163438,72.18,2438
